"","name","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000167552","TUBA1A",1213.5320670068,1.72338194746514,0.179601438799197,4.78772737693411e-23,2.84965533475118e-19
"ENSG00000170323","FABP4",448.539407374605,2.80493648154339,0.377841458541054,6.35146850808847e-15,1.89019702800713e-11
"ENSG00000171223","JUNB",655.34448144588,-1.83600404819178,0.304740006717186,8.43055462252077e-11,1.67262203710812e-07
"ENSG00000137801","THBS1",5272.40574955688,1.38329144041947,0.243665247982701,7.87396026011429e-10,9.37316229364005e-07
"ENSG00000108691","CCL2",1178.96763618828,1.44350012650842,0.253245746615511,6.80960648493404e-10,9.37316229364005e-07
"ENSG00000168209","DDIT4",379.829709567465,-1.49714375598533,0.268034524682769,1.18623749106992e-09,1.17674759114136e-06
"ENSG00000138650","PCDH10",120.74305905699,1.70985367576577,0.330335612798133,1.14825371068138e-08,9.76343726567943e-06
"ENSG00000152049","KCNE4",101.644418536992,-1.8786816549038,0.369017603654219,1.70466287464269e-08,1.26826917873416e-05
"ENSG00000162772","ATF3",85.2798456224667,-2.28239420853996,0.454940303729569,2.16570342542871e-08,1.43225186535019e-05
"ENSG00000163739","CXCL1",1689.11855799213,0.982328502869239,0.199535249307002,5.84155088251308e-08,3.47689108527179e-05
"ENSG00000233966","UBE2SP1",185.622141748438,-1.69188637090261,0.352950657654769,7.72672854163831e-08,4.18086257089375e-05
"ENSG00000124216","SNAI1",208.044412631342,-1.52422844470294,0.318289233702282,8.65193774874448e-08,4.29136112337726e-05
"ENSG00000164687","FABP5",68.988875696652,2.27183094669432,0.477305853307457,9.78685375035794e-08,4.48087334785619e-05
"ENSG00000176014","TUBB6",537.93063360955,1.13971773163249,0.242821662327853,1.58513393224524e-07,6.20142951262314e-05
"ENSG00000187608","ISG15",253.169797183154,-2.34285696194392,0.507919525889258,1.66705094425353e-07,6.20142951262314e-05
"ENSG00000164081","TEX264",115.08389694159,-1.57067506825025,0.335800533855597,1.51358940408522e-07,6.20142951262314e-05
"ENSG00000275757","5_8S_rRNA",185.541462596015,-1.89314217885753,0.421530743012657,2.9883334515229e-07,0.000104626827667437
"ENSG00000204256","BRD2",352.114887997254,-1.16379364934498,0.264001203179991,5.693921543423e-07,0.000188279005702521
"ENSG00000136244","IL6",474.106316855835,1.00696602792173,0.230742364724979,8.23076445531116e-07,0.000257839526515853
"ENSG00000107984","DKK1",61.2251744074154,2.99320773580072,0.696533895338735,9.01610755726945e-07,0.000268319360904339
"ENSG00000184867","ARMCX2",88.828855832979,1.88372567596048,0.446295453661659,1.08243666297446e-06,0.000306793477048761
"ENSG00000179094","PER1",149.981262823271,-1.81154851627013,0.438641773632993,1.54225227050499e-06,0.000417249341547532
"ENSG00000109193","SULT1E1",73.7981770125529,1.61307867395384,0.391028028511585,1.77999150669032e-06,0.000460630845557425
"ENSG00000124225","PMEPA1",277.871770443348,-1.69049232540084,0.413710469051829,1.9586223870996e-06,0.000485738352000701
"ENSG00000091879","ANGPT2",194.636672912389,1.47824179158993,0.361306495170699,2.10461741804545e-06,0.000501067314888262
"ENSG00000140961","OSGIN1",81.8493724628269,-1.58844169307412,0.390992167293795,2.27213190717771e-06,0.000520143427366221
"ENSG00000123416","TUBA1B",2498.3430185813,0.756293534785033,0.18146848623311,2.63811757240432e-06,0.000581558362627798
"ENSG00000102010","BMX",47.2877715093488,1.80354572453262,0.457019000114966,3.62014809400591e-06,0.00076954005198297
"ENSG00000149260","CAPN5",73.0781109459233,-1.66780746423467,0.430935634332674,4.76079565439502e-06,0.000977112266722729
"ENSG00000165092","ALDH1A1",471.067323395277,1.34568315744905,0.346456061438837,5.18207325686304e-06,0.00100168504001166
"ENSG00000134986","NREP",288.618985113547,1.36628276478471,0.351744073254836,5.21710958339407e-06,0.00100168504001166
"ENSG00000120738","EGR1",292.082017518401,-1.22701098775282,0.326259007441226,8.74320733013897e-06,0.00157695666754507
"ENSG00000121068","TBX2",66.7384167497592,-1.53706194392892,0.411708609429172,8.72949789723156e-06,0.00157695666754507
"ENSG00000164104","HMGB2",135.069811621569,-1.48854921010543,0.404993589916122,1.03007013098983e-05,0.00171011953420951
"ENSG00000132510","KDM6B",58.8923930244267,-1.61400510992782,0.437073660936882,1.03434649246543e-05,0.00171011953420951
"ENSG00000182704","TSKU",118.805337368444,-1.15598410787141,0.308297698291906,9.78940000793759e-06,0.00171011953420951
"ENSG00000133110","POSTN",1713.19657918348,0.889027443547029,0.238221141318285,1.30219638153088e-05,0.00203965075338731
"ENSG00000143079","CTTNBP2NL",53.937319494565,1.79428475486572,0.492492570555272,1.28633488495418e-05,0.00203965075338731
"ENSG00000118523","CCN2",4621.64831692107,1.24141187001111,0.340736885574911,1.46340618557843e-05,0.00212443746745435
"ENSG00000100292","HMOX1",495.5066513005,-1.50543270545495,0.419674398612714,1.44795351265448e-05,0.00212443746745435
"ENSG00000117152","RGS4",149.448270090715,1.2761731902154,0.351104570891511,1.42729555322937e-05,0.00212443746745435
"ENSG00000101255","TRIB3",215.957872369214,-1.05424070802668,0.294926850918366,1.94342997813619e-05,0.002754117911873
"ENSG00000160932","LY6E",384.232225477174,-1.41062250681067,0.406488803059759,2.35863036590666e-05,0.00326478324136661
"ENSG00000165949","IFI27",215.574072125383,-2.48372355223724,0.738505969434552,2.52716702557518e-05,0.00341856775823261
"ENSG00000157514","TSC22D3",281.034895609336,-1.31364601745058,0.381457023826443,2.6466567530594e-05,0.00350064466537991
"ENSG00000072518","MARK2",107.334590217667,-1.31949497972126,0.384025377068406,2.91046980664573e-05,0.00368576942322455
"ENSG00000227586","RPS26P39",58.4778490453919,-2.80781327670216,0.83309654411552,2.86924844559811e-05,0.00368576942322455
"ENSG00000131016","AKAP12",351.869967824544,1.03679352219522,0.301818694069033,3.33439414320719e-05,0.00413464873757691
"ENSG00000178695","KCTD12",359.922403519247,1.6028461664172,0.482272724348797,3.79405870750025e-05,0.00442788969157676
"ENSG00000124766","SOX4",453.200509288684,-1.34361380187799,0.401795784387239,3.72190553750891e-05,0.00442788969157676
"ENSG00000076604","TRAF4",107.437470371253,-1.39415696822638,0.418028366646496,3.76505495126291e-05,0.00442788969157676
"ENSG00000106546","AHR",89.7044020177013,1.38024118914924,0.412953175034145,3.91876320675941e-05,0.00448547665512153
"ENSG00000260032","NORAD",205.97865410333,1.052148893913,0.311714574780259,4.1958136857734e-05,0.00471197793541949
"ENSG00000105281","SLC1A5",462.365987735196,-1.0566846954272,0.319041867934679,5.03948609796576e-05,0.00552989855762552
"ENSG00000108107","RPL28",6203.33790432252,-1.52537338132398,0.477763752330054,5.10995330425746e-05,0.00552989855762552
"ENSG00000182831","C16orf72",166.69620750134,-0.957348833813599,0.288342649082329,5.38171850346259e-05,0.00571999795225166
"ENSG00000163661","PTX3",479.582935764915,0.960976351188007,0.291469087134764,5.82850822653151e-05,0.00608618964286238
"ENSG00000130766","SESN2",146.298479721102,-1.13780032709333,0.351072998348659,5.9485888706713e-05,0.00610448292383372
"ENSG00000139926","FRMD6",256.324408636353,0.911834182577654,0.276590580287309,6.088683116917e-05,0.00614234608676102
"ENSG00000101986","ABCD1",89.3629053797905,-1.69814294353198,0.53458166936813,6.19583965157874e-05,0.00614627293436611
"ENSG00000204525","HLA-C",634.171519069468,-1.10803774210827,0.347562009368226,7.27481768718287e-05,0.00709831391378892
"ENSG00000138764","CCNG2",109.736089004144,-1.02347863632981,0.319784564878062,7.47608192692169e-05,0.00717703864984483
"ENSG00000220205","VAMP2",168.850873293154,-1.39858889933735,0.450761073338778,8.23150459128181e-05,0.00777681195671577
"ENSG00000076924","XAB2",64.7964034420006,-2.03584683711654,0.673442140117258,8.72905209784957e-05,0.0081180184510001
"ENSG00000214748","AL355309.1",91.9582793857977,-2.15522329708507,0.717952534008209,9.19224020274311e-05,0.00828972934647379
